year,species,region,sector,area,discards,dead_disc,landings
2005,Gag,Atlantic,Headboat,all,6.68,1.67,8.047
2005,Gag,Atlantic,Private-Charter,all,359.7796626,89.94491565,55.90355766
2005,Gag,Gulf,Charter,all,339.608,40.75296,126.872
2005,Gag,Gulf,Headboat,all,42.7113,5.125356,16.784
2005,Gag,Gulf,Private,all,2820.73,338.4876,533.962
2005,Red Grouper,Atlantic,Headboat,all,9.74,1.948,11.47
2005,Red Grouper,Atlantic,Private-Charter,all,179.6,35.92,39.46
2005,Red Grouper,Gulf,Gen.Rec,all,2135.46,247.71336,366.584
2005,Red Snapper,Atlantic,Headboat,all,9.972,3.68964,8.907
2005,Red Snapper,Atlantic,Private-Charter,all,129.834,48.03858,53.373
2005,Red Snapper,Gulf,Charter,Central,571.9528,96.6600232,385.561
2005,Red Snapper,Gulf,Headboat,Central,39.288,9.586272,41.61
2005,Red Snapper,Gulf,Private,Central,4028.06,1196.33382,899.701
2006,Gag,Atlantic,Headboat,all,3.736,0.934,4.602
2006,Gag,Atlantic,Private-Charter,all,401.7854155,100.4463539,80.58901582
2006,Gag,Gulf,Charter,all,140.619,16.87428,70.4454
2006,Gag,Gulf,Headboat,all,12.7649,1.531788,6.764
2006,Gag,Gulf,Private,all,1752.99,210.3588,285.535
2006,Red Grouper,Atlantic,Headboat,all,5,1,5.24
2006,Red Grouper,Atlantic,Private-Charter,all,155.36,31.072,95.34
2006,Red Grouper,Gulf,Gen.Rec,all,1616.31,187.49196,273.237
2006,Red Snapper,Atlantic,Headboat,all,17.447,6.45539,5.945
2006,Red Snapper,Atlantic,Private-Charter,all,452.519,167.43203,62.23
2006,Red Snapper,Gulf,Charter,Central,803.202,135.741138,388.461
2006,Red Snapper,Gulf,Headboat,Central,61.514,15.009416,46.74
2006,Red Snapper,Gulf,Private,Central,4173.11,1239.41367,985.371
2007,Gag,Atlantic,Headboat,all,3.53,0.8825,6.703
2007,Gag,Atlantic,Private-Charter,all,583.8234768,145.9558692,77.71831903
2007,Gag,Gulf,Charter,all,113.324,13.59888,33.9911
2007,Gag,Gulf,Headboat,all,35.0285,4.20342,11.141
2007,Gag,Gulf,Private,all,2712.74,325.5288,236.24
2007,Red Grouper,Atlantic,Headboat,all,4.14,0.828,5.16
2007,Red Grouper,Atlantic,Private-Charter,all,100.97,20.194,150.14
2007,Red Grouper,Gulf,Gen.Rec,all,1216.46,141.10936,225.583
2007,Red Snapper,Atlantic,Headboat,all,73.401,27.15837,6.889
2007,Red Snapper,Atlantic,Private-Charter,all,963.575,356.52275,60.086
2007,Red Snapper,Gulf,Charter,Central,685.093,115.780717,475.791
2007,Red Snapper,Gulf,Headboat,Central,57.591,14.052204,62.84
2007,Red Snapper,Gulf,Private,Central,5695.97,1691.70309,1526.401
2008,Gag,Atlantic,Headboat,all,4.631,1.15775,3.062
2008,Gag,Atlantic,Private-Charter,all,505.4904896,126.3726224,102.9141351
2008,Gag,Gulf,Charter,all,313.363,37.60356,89.1096
2008,Gag,Gulf,Headboat,all,53.173,6.38076,10.521
2008,Gag,Gulf,Private,all,4442.42,533.0904,379.698
2008,Red Grouper,Atlantic,Headboat,all,6.74,1.348,2.44
2008,Red Grouper,Atlantic,Private-Charter,all,99.67,19.934,227.46
2008,Red Grouper,Gulf,Gen.Rec,all,4586.27,532.00732,192.793
2008,Red Snapper,Atlantic,Headboat,all,74.686,27.63382,18.943
2008,Red Snapper,Atlantic,Private-Charter,all,1422.482,526.31834,328.723
2008,Red Snapper,Gulf,Charter,Central,486.489,82.216641,265.441
2008,Red Snapper,Gulf,Headboat,Central,94.052,22.948688,60.63
2008,Red Snapper,Gulf,Private,Central,4356.13,1293.77061,898.071
2009,Gag,Atlantic,Headboat,all,8.344,2.086,3.001
2009,Gag,Atlantic,Private-Charter,all,392.5254339,98.13135849,72.46140187
2009,Gag,Gulf,Charter,all,267.022,32.04264,46.6923
2009,Gag,Gulf,Headboat,all,52.392,6.28704,9.483
2009,Gag,Gulf,Private,all,2936.55,352.386,196.587
2009,Red Grouper,Atlantic,Headboat,all,12.27,2.454,1.43
2009,Red Grouper,Atlantic,Private-Charter,all,120.88,24.176,159.7
2009,Red Grouper,Gulf,Gen.Rec,all,4672.46,542.00536,153.594
2009,Red Snapper,Atlantic,Headboat,all,57.906,21.42522,21.507
2009,Red Snapper,Atlantic,Private-Charter,all,960.896,355.53152,421.979
2009,Red Snapper,Gulf,Charter,Central,475.856,80.419664,205.261
2009,Red Snapper,Gulf,Headboat,Central,94.201,22.985044,78.42
2009,Red Snapper,Gulf,Private,Central,3836.63,1139.47911,1079.271
2010,Gag,Atlantic,Headboat,all,4.839,1.20975,3.281
2010,Gag,Atlantic,Private-Charter,all,285.0005708,71.25014271,40.91078256
2010,Gag,Gulf,Charter,all,325.174,39.02088,60.2332
2010,Gag,Gulf,Headboat,all,46.592,5.59104,11.094
2010,Gag,Gulf,Private,all,2314.74,277.7688,251.765
2010,Red Grouper,Atlantic,Headboat,all,14.34,2.868,1.28
2010,Red Grouper,Atlantic,Private-Charter,all,108.75,21.75,22.14
